244.196: [GC [PSYoungGen: 2625488K->45200K(2649024K)] 5883525K->3334067K(7069312K), 0.0817620 secs] [Times: user=0.58 sys=0.06, real=0.08 secs] 
247.091: [GC [PSYoungGen: 2618064K->75232K(2637824K)] 5906931K->3371143K(7058112K), 0.0841600 secs] [Times: user=0.65 sys=0.02, real=0.08 secs] 
249.996: [GC [PSYoungGen: 2637792K->55328K(2646592K)] 5933703K->3410523K(7066880K), 0.1072140 secs] [Times: user=0.75 sys=0.10, real=0.10 secs] 
252.962: [GC [PSYoungGen: 2617888K->56400K(2639296K)] 5973083K->3442473K(7059584K), 0.0914500 secs] [Times: user=0.68 sys=0.05, real=0.09 secs] 
255.869: [GC [PSYoungGen: 2621776K->47376K(2644352K)] 6007849K->3464128K(7064640K), 0.0818630 secs] [Times: user=0.59 sys=0.05, real=0.08 secs] 
258.782: [GC [PSYoungGen: 2612752K->63728K(2650560K)] 6029504K->3511322K(7070848K), 0.0965650 secs] [Times: user=0.70 sys=0.06, real=0.10 secs] 
261.797: [GC [PSYoungGen: 2636272K->42000K(2651584K)] 6083866K->3520373K(7071872K), 0.0768490 secs] [Times: user=0.55 sys=0.06, real=0.08 secs] 
264.739: [GC [PSYoungGen: 2614544K->57248K(2648768K)] 6092917K->3566611K(7069056K), 0.0900760 secs] [Times: user=0.66 sys=0.06, real=0.09 secs] 
267.670: [GC [PSYoungGen: 2629792K->44176K(2650176K)] 6139155K->3584398K(7070464K), 0.0834320 secs] [Times: user=0.62 sys=0.04, real=0.08 secs] 
270.585: [GC [PSYoungGen: 2616720K->44672K(2650816K)] 6156942K->3615808K(7071104K), 0.0791060 secs] [Times: user=0.58 sys=0.05, real=0.08 secs] 
273.520: [GC [PSYoungGen: 2620544K->76272K(2652160K)] 6191680K->3660340K(7072448K), 0.0896370 secs] [Times: user=0.68 sys=0.02, real=0.09 secs] 
276.430: [GC [PSYoungGen: 2652144K->51168K(2638720K)] 6236212K->3689946K(7059008K), 0.1029780 secs] [Times: user=0.73 sys=0.09, real=0.11 secs] 
279.371: [GC [PSYoungGen: 2611424K->54608K(2645440K)] 6250202K->3724264K(7065728K), 0.0868350 secs] [Times: user=0.63 sys=0.05, real=0.08 secs] 
282.265: [GC [PSYoungGen: 2614864K->58192K(2639168K)] 6284520K->3758427K(7059456K), 0.0916160 secs] [Times: user=0.68 sys=0.05, real=0.09 secs] 
285.178: [GC [PSYoungGen: 2621136K->61200K(2643648K)] 6321371K->3792021K(7063936K), 0.0943030 secs] [Times: user=0.70 sys=0.05, real=0.10 secs] 
288.103: [GC [PSYoungGen: 2624144K->65712K(2648384K)] 6354965K->3827224K(7068672K), 0.0970340 secs] [Times: user=0.73 sys=0.04, real=0.09 secs] 
291.049: [GC [PSYoungGen: 2633904K->55568K(2623808K)] 6395416K->3847878K(7044096K), 0.0916880 secs] [Times: user=0.69 sys=0.05, real=0.09 secs] 
293.941: [GC [PSYoungGen: 2623760K->51712K(2649664K)] 6416070K->3874820K(7069952K), 0.0891000 secs] [Times: user=0.64 sys=0.04, real=0.09 secs] 
