time,build_number,project_name,project_name_1,project_path,rf_critical_failed,rf_critical_passed,rf_duration,rf_failed,rf_name,rf_name_1,rf_passed,rf_suite_name
2019-08-25T11:19:43.642000105Z,5506,Altiplano,Altiplano,Altiplano,0,1,7849,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T12:11:07.661000105Z,5507,Altiplano,Altiplano,Altiplano,0,1,5619,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T13:09:39.598000105Z,5508,Altiplano,Altiplano,Altiplano,0,1,8438,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T14:23:22.766000105Z,5509,Altiplano,Altiplano,Altiplano,0,1,6052,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T15:49:09.771000105Z,5510,Altiplano,Altiplano,Altiplano,0,1,5451,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T16:42:52.728000105Z,5511,Altiplano,Altiplano,Altiplano,0,1,5852,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T17:47:05.957000105Z,5512,Altiplano,Altiplano,Altiplano,0,1,5586,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T19:00:23.757000105Z,5513,Altiplano,Altiplano,Altiplano,0,1,5647,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T19:57:16.415000105Z,5514,Altiplano,Altiplano,Altiplano,0,1,10560,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
2019-08-25T20:50:42.880000105Z,5515,Altiplano,Altiplano,Altiplano,0,1,6780,0,Verify that any changes to device-specific-data through edit-config request will still be accepted when the flag is set to false,,1,Device Configuration
