
 num     #instances         #bytes  class name
 368:           159           6360  org.dom4j.tree.NamespaceStack
 369:           159           6360  org.kohsuke.stapler.AncestorImpl
 370:           159           6360  org.kohsuke.stapler.ResponseImpl
 371:           159           6360  sun.util.locale.LanguageTag
 372:           349           6336  [Lsun.reflect.generics.tree.FormalTypeParameter;
 373:           198           6336  sun.reflect.generics.repository.ClassRepository
 374:           393           6288  java.util.LinkedHashSet
 375:           192           6144  java.util.Vector
 376:           256           6144  org.eclipse.jetty.http.HttpTokens$Token
 377:           383           6128  com.google.inject.Key$1
 378:           189           6048  java.util.Stack
 379:           151           6040  sun.reflect.generics.repository.MethodRepository
 380:           149           5960  sun.nio.fs.WindowsPath
 381:           246           5904  sun.reflect.generics.scope.ClassScope
 382:            72           5760  com.google.common.cache.LocalCache$Segment
 383:           180           5760  java.util.LinkedHashMap$LinkedValueIterator
 384:           357           5712  com.google.inject.internal.Scoping$6
 385:           357           5712  com.sun.proxy.$Proxy21
 386:           238           5712  hudson.ExtensionComponent
 387:           293           5656  [Lorg.codehaus.groovy.ast.ClassNode;
 388:           176           5632  org.eclipse.jetty.util.ArrayTernaryTrie
 389:           350           5600  com.sun.proxy.$Proxy15
 390:           345           5520  java.util.Collections$UnmodifiableSet
 391:           137           5480  sun.nio.cs.UTF_8$Decoder
 392:           225           5400  java.util.regex.Pattern$5
 393:           336           5376  com.google.inject.internal.DefaultConstructionProxyFactory
 394:           334           5344  java.nio.channels.spi.AbstractInterruptibleChannel$1
 395:           330           5320  [Lorg.eclipse.jetty.xml.XmlParser$Attribute;
 396:           163           5216  java.security.CodeSource
 397:           323           5168  org.eclipse.jetty.util.thread.Locker$Lock
 398:           321           5136  [Ljava.lang.annotation.Annotation;
 399:           160           5120  org.eclipse.jetty.http.HostPortHttpField
 400:           320           5120  org.eclipse.jetty.io.AbstractConnection$ReadCallback
 401:           320           5120  org.eclipse.jetty.io.ChannelEndPoint$1
 402:           160           5120  org.eclipse.jetty.server.CookieCutter
 403:           320           5120  org.eclipse.jetty.server.HttpChannel$$Lambda$108/648109199
 404:           320           5120  org.eclipse.jetty.server.HttpConnection$AsyncReadCallback
 405:           320           5120  org.eclipse.jetty.server.HttpConnection$BlockingReadCallback
 406:           213           5112  com.google.inject.internal.InjectorImpl$2
 407:           319           5104  org.acegisecurity.acls.sid.PrincipalSid
 408:           271           5088  [Ljava.lang.reflect.TypeVariable;
 409:           159           5088  com.jcraft.jzlib.Adler32
 410:           159           5088  com.jcraft.jzlib.GZIPOutputStream
 411:           318           5088  hudson.Functions
 412:           159           5088  java.lang.Throwable
 413:           159           5088  org.kohsuke.stapler.ScriptRequestDispatcher
 414:           159           5088  org.kohsuke.stapler.TokenList
 415:           159           5088  org.kohsuke.stapler.jelly.ContentTypeTag
 416:           159           5088  org.kohsuke.stapler.jelly.DefaultScriptInvoker$$Lambda$134/1712678626
 417:           159           5088  org.kohsuke.stapler.jelly.HTMLWriterOutput
 418:           159           5088  org.kohsuke.stapler.jelly.StatusCodeTag
 419:           208           4992  java.util.regex.Pattern$Single
 420:           151           4832  sun.reflect.generics.tree.MethodTypeSignature
 421:           198           4752  sun.reflect.generics.tree.ClassSignature
 422:           193           4632  java.util.regex.Pattern$Start
 423:           190           4560  java.util.concurrent.ConcurrentHashMap$KeySetView
 424:           190           4544  [Lorg.codehaus.groovy.ast.GenericsType;
 425:            81           4536  java.lang.invoke.MethodTypeForm
 426:           113           4520  sun.security.rsa.RSAPublicKeyImpl
 427:           281           4496  java.lang.Byte
 428:           186           4464  jenkins.security.ImpersonatingScheduledExecutorService$1
 429:            79           4424  com.thoughtworks.xstream.core.util.OrderRetainingMap
 430:           184           4416  java.util.Collections$UnmodifiableRandomAccessList
 431:           138           4416  java.util.LinkedList
 432:           177           4248  java.util.Collections$UnmodifiableCollection$1
 433:           263           4208  java.lang.Short
 434:           175           4200  java.util.zip.ZStreamRef
 435:           131           4192  org.eclipse.jetty.util.resource.PathResource
 436:             1           4112  [Lcom.sun.org.apache.xpath.internal.objects.XObject;
 437:           171           4104  java.lang.invoke.LambdaForm$NamedFunction
 438:           128           4096  org.codehaus.groovy.util.ManagedConcurrentMap$EntryWithValue
 439:           255           4080  com.thoughtworks.xstream.converters.SingleValueConverterWrapper
 440:           198           4016  [Lsun.reflect.generics.tree.ClassTypeSignature;
 441:           167           4008  java.util.regex.Pattern$1
 442:           167           4008  org.eclipse.jetty.server.Server$DateField
 443:           166           3984  sun.nio.cs.Surrogate$Parser
 444:           124           3968  org.eclipse.jetty.webapp.MetaData$OriginInfo
 445:            55           3960  sun.reflect.DelegatingClassLoader
 446:            49           3920  org.codehaus.groovy.reflection.stdclasses.CachedSAMClass
 447:           163           3912  jenkins.model.UnlabeledLoadStatistics$UnlabeledNodesIterator
 448:           160           3840  org.eclipse.jetty.util.HostPort
 449:            96           3840  sun.misc.Cleaner
 450:           159           3816  [[Ljava.lang.annotation.Annotation;
 451:           159           3816  java.util.regex.Pattern$TreeInfo
 452:           159           3816  jenkins.security.stapler.StaplerDispatchValidator$$Lambda$136/1546475207
 453:           159           3816  org.apache.commons.jelly.XMLOutput$NamespaceStack
 454:           159           3816  org.kohsuke.stapler.compression.FilterServletOutputStream
 455:           159           3816  org.kohsuke.stapler.jelly.DefaultScriptInvoker$1
 456:           159           3816  org.kohsuke.stapler.jelly.DefaultScriptInvoker$LazyOutputStreamSupplier
 457:           115           3680  org.codehaus.groovy.classgen.asm.MethodCaller
 458:           151           3624  sun.reflect.generics.scope.MethodScope
 459:            90           3600  com.google.common.cache.AbstractCache$SimpleStatsCounter
 460:           111           3552  sun.security.x509.BasicConstraintsExtension
 461:           121           3528  [Ljava.security.cert.Certificate;
 462:           110           3520  org.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Header
 463:           109           3488  sun.security.x509.SubjectKeyIdentifierExtension
 464:            86           3440  java.io.ObjectStreamField
 465:           210           3360  com.sun.proxy.$Proxy1
 466:            56           3336  [Ljava.beans.PropertyDescriptor;
 467:           103           3296  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 468:            29           3248  java.util.GregorianCalendar
 469:           101           3232  sun.security.x509.KeyUsageExtension
 470:            36           3160  [Ljava.lang.invoke.MethodHandle;
 471:            78           3120  org.eclipse.jetty.http.HttpHeader
